"pk","bibref","Var1","Relation","Var2","Cor","Subject","Type","SampleN","SampleLocation","SampleDemographic","AnalysisType","AnalysisDetails","StatType","Stat","Confirmed","Notes"
"3189993190","messick1979fairness","33065517",">","1015199955",NA,"Experimental Economics","experiment","","United States","","",NA,NA,NA,"yes","There was a self-serving bias in fairness judgements, having further causal effects on other variables. Equal outcomes were chosen to be fair more often when the self was in a disadvantageous position; when equality was not chosen, what was fair for oneself was seen to be higher than was was deemed fair for the other. So fairness judgements determine proportionality, but distorted by an egocentric shift"
"1550043246","messick1979fairness","1015199955",">","3462401535",NA,"Experimental Economics","experiment","","United States","University Students","",NA,NA,NA,"yes","fairness influences intended choice 93% of the times when it coincides with distributive preferences, but only 59% of the times when it does not coincide"
"2546450274","messick1979fairness","1015199955",">","1191234745",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","Fairness influences a subject’s distributive preferences, only when they are judging other’s outcomes. Fairness is not considered when giving preferences for own outcomes"
"3075839380","messick1979fairness","1015199955","~","2892188777",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","fairness judgements followed a weak proportionality model, in which proportionality is found for some of the input ratios (ratio between self inputs and other‘s inputs)"
"926139659","messick1979fairness","1191234745",">","3462401535",NA,"Experimental Economics","experiment","","United States","University students","",NA,NA,NA,"yes","distributive preference influences intended choice 93% of the times when it coincides with fairness judgements, but only 28% of the times when it does not coincide"
"1537155202","cutrona1986objective","4228808742","/>","3013313271","none",NA,NA,"","","","","","","","","Though insignificant for young and married mothers, presence of kin showed a significant relationship with loneliness, in elderly women"
"170148838","cutrona1986objective","850554024","/>","3013313271","none",NA,NA,"","","","","","","","",""
"2801920856","cutrona1986objective","4228808742",">","678748647","none",NA,NA,"","","","","","","","","Social support and contact with kin was the most significant predictor of a positive feeling of social support"
"1762177774","cutrona1986objective","850554024","~","678748647","none",NA,NA,"","","","","","","","","Guidance, attachment, Nurturance and reliable alliance are associated with kin variables.  Social integration and reassurance of worth are more linked with non-kin support  "
"3582368270","cutrona1986objective","1510746352",">","678748647","",NA,NA,"","","","","","","","",""
"911755331","cutrona1986objective","3370725657",">","3013313271","none",NA,NA,"","","","","","","","","Especially significant for the elderly"
"1559128523","liebrand1986we","3806255268",">","3536610794","pos","Social Psychology; Cross-cultural psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Perceived fairness positively influences rated frequency of behaviors. Fair behaviors are rated to be more frequent, with a positive self-serving bias (I-fair behaviors are rated more frequent than They-fair)"
"2234861418","liebrand1986we","3806255268",">","3438262777","neg","Social Psychology; Cross-cultural Psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Unfair behaviors are recalled more often than fair behaviors, with a self-serving bias: They-Unfair is recalled more often than I-Unfair"
"2015780850","liebrand1986we","3806255268",">","4214394244","neg","Social Psychology","experiment","","Netherlands","University students","",NA,NA,NA,"yes","Unfair behaviors are more salient than fair behaviors, with a self-serving bias: They-Unfair is are more salient than I-Unfair"
