"Var1","Relation","Var2","Cor","Subject","Type","Sample","SampleLocation","SampleDemographic","Analysis","AnalysisDetails","Stat type","Stat","Confirmed","Notes","StatType","bibref"
"national marriage rate",">","housework conflict: women","neg","Sociology","survey","","","","","","","","yes","The negative relationship becomes significant only when bargaining power measures are included","","ruppanner2012housework"
"age",">","housework conflict: women","neg","Sociology","survey","","","","","","","","yes","age","","ruppanner2012housework"
"family income",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","family income","","ruppanner2012housework"
"share of paid work",">","housework conflict: women","pos","Sociology","survey","","","","","","","","no","share of paid work","","ruppanner2012housework"
"decision making power",">","housework conflict: women","neg","Sociology","survey","","","","","","","","yes","decision making power","","ruppanner2012housework"
"female-male wage gap",">","housework conflict: women","neg","Sociology","survey","","","","","","","","no","female-male wage gap","","ruppanner2012housework"
"gender ideology: egalitarian",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","gender ideology: egalitarian","","ruppanner2012housework"
"paid work hours: relative",">","housework conflict: women","pos","Sociology","survey","","","","","","","","no","paid work hours: relative","","ruppanner2012housework"
"relative income",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","relative income","","ruppanner2012housework"
"female labour force participation",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","female labour force participation","","ruppanner2012housework"
"housework monotony",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","housework monotony","","ruppanner2012housework"
"housework stress",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","housework stress","","ruppanner2012housework"
"wife’s relative housework",">","housework conflict: women","pos","Sociology","survey","","","","","","","","yes","wife’s relative housework","","ruppanner2012housework"
"education attainment",">","housework conflict: women","","Sociology","survey","","","","","","","","no","education attainment","","ruppanner2012housework"
"female-male wage gap",">","housework conflict: men","neg","Sociology","survey","","","","","","","","no","female-male wage gap","","ruppanner2012housework"
"education attainment",">","housework conflict: men","pos","Sociology","survey","","","","","","","","no","education attainment","","ruppanner2012housework"
"paid work hours: relative",">","housework conflict: men","neg","Sociology","survey","","","","","","","","yes","paid work hours: relative","","ruppanner2012housework"
"gender ideology: egalitarian","~","housework conflict: men","pos","Sociology","survey","","","","","","","","yes","gender ideology: egalitarian","ruppanner2012housework"
"national marriage rate",">","housework conflict: men","neg","Sociology","survey","","","","","","","","no","national marriage rate","","ruppanner2012housework"
"age",">","housework conflict: men","neg","Sociology","survey","","","","","","","","yes","age","","ruppanner2012housework"
"decision making power",">","housework conflict: men","pos","Sociology","","","","","","","","","yes","being the primary decision-maker is positively correlated with housework conflict in men, while sharing the decision-making responsibility is negatively correlated with housework conflict","","ruppanner2012housework"
"female labour force participation",">","housework conflict: men","pos","Sociology","","","","","","","","","yes","female labour force participation","","ruppanner2012housework"
"husband’s relative housework",">","housework conflict: men","neg","Sociology","","","","","","","","","yes","Performing more housework than one’s spouse or doing the same amount of housework is negatively correlated with housework conflict","","ruppanner2012housework"
"share of paid work",">","housework conflict: men","pos","","","","","","","","","","yes","share of paid work","","ruppanner2012housework"
"housework monotony",">","housework conflict: men","pos","","","","","","","","","","yes","housework monotony","","ruppanner2012housework"
"family income",">","housework conflict: men","pos","","","","","","","","","","yes","family income","","ruppanner2012housework"
"housework stress",">","housework conflict: men","pos","","","","","","","","","","yes","housework stress","","ruppanner2012housework"
